ministry,sector,state,region,implementing_agency,project_type,primary_bottleneck,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,remaining_planned_months,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,expenditure_per_progress_point,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,milestone_completion_rate
Ministry of Jal Shakti,Water Resources,West Bengal,East,National Water Development Agency,Strategic Interconnection,NONE,1725.14,50.0,18.0,0.36,32.0,1897.42,100.0,109.99,9.99,18.97,10,10,9,0,0.9,1.0
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,FOREST_CLEARANCE,640.41,63.0,18.0,0.2857,45.0,379.07,43.78,59.19,15.41,8.66,10,4,5,0,0.5,0.4
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,4080.19,43.0,18.0,0.4186,25.0,5278.11,100.0,129.36,29.36,52.78,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,ENVIRONMENTAL_CLEARANCE,1974.57,37.0,18.0,0.4865,19.0,2520.77,100.0,127.66,27.66,25.21,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Jharkhand,East,National Highways Authority of India (NHAI),Strategic Interconnection,CONTRACTOR,150.0,43.0,18.0,0.4186,25.0,174.09,100.0,116.06,16.06,1.74,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Greenfield Construction,NONE,416.34,27.0,18.0,0.6667,9.0,436.71,100.0,104.89,4.89,4.37,10,10,1,0,0.1,1.0
Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,NONE,1633.12,48.0,18.0,0.375,30.0,1547.91,91.78,94.78,3.0,16.87,10,8,6,1,0.6,0.8
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,8698.24,39.0,18.0,0.4615,21.0,10660.96,100.0,122.56,22.56,106.61,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,683.32,39.0,18.0,0.4615,21.0,756.02,100.0,110.64,10.64,7.56,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LAND_ACQUISITION,1387.07,56.0,18.0,0.3214,38.0,597.05,35.71,43.04,7.33,16.72,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,Central,National Highways Authority of India (NHAI),Corridor Modernization,PROCUREMENT,5501.45,28.0,18.0,0.6429,10.0,6169.87,100.0,112.15,12.15,61.7,10,10,8,0,0.8,1.0
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,184.6,26.0,18.0,0.6923,8.0,254.6,100.0,137.92,37.92,2.55,10,10,10,0,1.0,1.0
Ministry of Jal Shakti,Water Resources,Tamil Nadu,South,National Water Development Agency,Capacity Augmentation / 6-Laning,LAND_ACQUISITION,1131.93,63.0,18.0,0.2857,45.0,836.5,56.41,73.9,17.49,14.83,10,5,6,0,0.6,0.5
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,PROCUREMENT,150.0,34.0,18.0,0.5294,16.0,166.54,100.0,111.03,11.03,1.67,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,814.41,47.0,18.0,0.383,29.0,773.27,71.32,94.95,23.63,10.84,10,6,7,0,0.7,0.6
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Andhra Pradesh,South,Major Ports Authority,Capacity Augmentation / 6-Laning,NONE,715.45,41.0,18.0,0.439,23.0,633.17,90.25,88.5,-1.75,7.02,10,8,0,0,0.0,0.8
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,CONTRACTOR,2077.84,35.0,18.0,0.5143,17.0,2578.73,100.0,124.11,24.11,25.79,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Corridor Modernization,NONE,608.88,26.0,18.0,0.6923,8.0,604.68,100.0,99.31,-0.69,6.05,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,446.32,52.0,18.0,0.3462,34.0,481.56,100.0,107.9,7.9,4.82,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LEGAL_DISPUTE,1077.87,70.0,18.0,0.2571,52.0,1261.01,83.34,116.99,33.65,15.13,10,7,8,0,0.8,0.7
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,NONE,271.14,42.0,18.0,0.4286,24.0,276.35,100.0,101.92,1.92,2.76,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,2912.54,51.0,18.0,0.3529,33.0,3258.67,91.93,111.88,19.95,35.45,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,CONTRACTOR,1356.06,25.0,18.0,0.72,7.0,1495.93,100.0,110.31,10.31,14.96,10,10,7,0,0.7,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Tamil Nadu,South,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,NONE,1271.92,51.0,18.0,0.3529,33.0,1368.14,100.0,107.56,7.56,13.68,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,464.67,37.0,18.0,0.4865,19.0,517.27,88.15,111.32,23.17,5.87,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,DESIGN_CHANGE,220.14,42.0,18.0,0.4286,24.0,255.2,100.0,115.93,15.93,2.55,10,10,10,0,1.0,1.0
Ministry of Jal Shakti,Water Resources,Jharkhand,East,National Water Development Agency,Strategic Interconnection,NONE,563.38,61.0,18.0,0.2951,43.0,373.24,57.19,66.25,9.06,6.53,10,5,3,1,0.3,0.5
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,3116.8,55.0,18.0,0.3273,37.0,2038.02,55.61,65.39,9.78,36.65,10,5,5,0,0.5,0.5
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Tamil Nadu,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,DESIGN_CHANGE,2697.49,71.0,18.0,0.2535,53.0,3078.52,100.0,114.13,14.13,30.79,10,10,10,0,1.0,1.0
Ministry of Jal Shakti,Water Resources,Bihar,East,National Water Development Agency,Greenfield Construction,NONE,1963.15,39.0,18.0,0.4615,21.0,1539.86,71.74,78.44,6.7,21.46,10,6,5,0,0.5,0.6
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,1838.25,58.0,18.0,0.3103,40.0,2220.81,100.0,120.81,20.81,22.21,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LAND_ACQUISITION,753.89,52.0,18.0,0.3462,34.0,496.36,40.66,65.84,25.18,12.21,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,3034.58,53.0,18.0,0.3396,35.0,2868.07,90.3,94.51,4.21,31.76,10,8,6,1,0.6,0.8
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,PROCUREMENT,2862.71,58.0,18.0,0.3103,40.0,2770.94,84.33,96.79,12.46,32.86,10,8,9,0,0.9,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Andhra Pradesh,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,223.9,71.0,18.0,0.2535,53.0,153.12,52.45,68.39,15.94,2.92,10,4,5,0,0.5,0.4
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,150.0,49.0,18.0,0.3673,31.0,167.67,100.0,111.78,11.78,1.68,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,926.44,50.0,18.0,0.36,32.0,768.47,59.34,82.95,23.61,12.95,10,5,6,0,0.6,0.5
Ministry of Jal Shakti,Water Resources,Odisha,East,National Water Development Agency,Capacity Augmentation / 6-Laning,NONE,357.15,57.0,18.0,0.3158,39.0,373.92,100.0,104.7,4.7,3.74,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,NONE,1477.1,47.0,18.0,0.383,29.0,1445.58,100.0,97.87,-2.13,14.46,10,10,5,0,0.5,1.0
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,1306.43,43.0,18.0,0.4186,25.0,1608.5,100.0,123.12,23.12,16.08,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Corridor Modernization,NONE,590.25,52.0,18.0,0.3462,34.0,454.47,74.35,77.0,2.65,6.11,10,7,4,1,0.4,0.7
Ministry of Coal,Coal Infrastructure,Tamil Nadu,South,Coal Infrastructure PSU,Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,1310.4,58.0,18.0,0.3103,40.0,1514.18,86.69,115.55,28.86,17.47,10,8,8,0,0.8,0.8
Ministry of Jal Shakti,Water Resources,Odisha,East,National Water Development Agency,Greenfield Construction,LAND_ACQUISITION,525.12,57.0,18.0,0.3158,39.0,517.59,69.21,98.57,29.36,7.48,10,6,7,0,0.7,0.6
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,LAND_ACQUISITION,756.44,58.0,18.0,0.3103,40.0,948.33,91.26,125.37,34.11,10.39,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Greenfield Construction,ENVIRONMENTAL_CLEARANCE,695.39,48.0,18.0,0.375,30.0,774.52,100.0,111.38,11.38,7.75,10,10,9,0,0.9,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Madhya Pradesh,Central,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,436.96,59.0,18.0,0.3051,41.0,333.41,50.97,76.3,25.33,6.54,10,4,5,0,0.5,0.4
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Andhra Pradesh,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,INTERDEPARTMENTAL_DEPENDENCY,475.32,39.0,18.0,0.4615,21.0,553.12,100.0,116.37,16.37,5.53,10,10,9,0,0.9,1.0
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Odisha,East,Major Ports Authority,Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,3542.78,40.0,18.0,0.45,22.0,4322.81,100.0,122.02,22.02,43.23,10,10,9,0,0.9,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Andhra Pradesh,South,Metro Rail Infrastructure SPV,Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,403.24,32.0,18.0,0.5625,14.0,462.77,100.0,114.76,14.76,4.63,10,10,9,0,0.9,1.0
Ministry of Power,Power,Chhattisgarh,Central,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,NONE,313.77,50.0,18.0,0.36,32.0,329.12,100.0,104.89,4.89,3.29,10,10,6,0,0.6,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Corridor Modernization,NONE,334.0,44.0,18.0,0.4091,26.0,363.14,100.0,108.72,8.72,3.63,10,10,7,0,0.7,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,PROCUREMENT,630.8,40.0,18.0,0.45,22.0,593.73,82.0,94.12,12.12,7.24,10,7,3,1,0.3,0.7
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,1802.7,66.0,18.0,0.2727,48.0,1064.43,36.46,59.05,22.59,29.19,10,3,4,0,0.4,0.3
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,LAND_ACQUISITION,1024.73,69.0,18.0,0.2609,51.0,1144.57,79.73,111.69,31.96,14.36,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,PROCUREMENT,9400.55,40.0,18.0,0.45,22.0,9513.43,100.0,101.2,1.2,95.13,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,DESIGN_CHANGE,754.68,39.0,18.0,0.4615,21.0,833.53,86.42,110.45,24.03,9.65,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,Central,National Highways Authority of India (NHAI),Corridor Modernization,NONE,711.71,57.0,18.0,0.3158,39.0,730.32,100.0,102.61,2.61,7.3,10,10,7,0,0.7,1.0
Ministry of Civil Aviation,Civil Aviation,Madhya Pradesh,Central,Airports Authority of India (AAI),Corridor Modernization,LAND_ACQUISITION,2084.82,27.0,18.0,0.6667,9.0,2605.95,100.0,125.0,25.0,26.06,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,695.18,66.0,18.0,0.2727,48.0,473.49,51.91,68.11,16.2,9.12,10,4,5,0,0.5,0.4
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Odisha,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,NONE,3301.87,26.0,18.0,0.6923,8.0,3476.49,100.0,105.29,5.29,34.76,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Corridor Modernization,NONE,3495.52,72.0,18.0,0.25,54.0,3665.33,91.27,104.86,13.59,40.16,10,8,9,0,0.9,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Maharashtra,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,ENVIRONMENTAL_CLEARANCE,3974.81,39.0,18.0,0.4615,21.0,2869.2,55.65,72.18,16.53,51.56,10,5,6,0,0.6,0.5
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,686.55,66.0,18.0,0.2727,48.0,786.79,85.68,114.6,28.92,9.18,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Corridor Modernization,UTILITY_SHIFTING,1897.59,61.0,18.0,0.2951,43.0,1693.92,79.42,89.27,9.85,21.33,10,7,8,0,0.8,0.7
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,527.02,67.0,18.0,0.2687,49.0,582.25,89.98,110.48,20.5,6.47,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,646.01,63.0,18.0,0.2857,45.0,302.96,34.38,46.9,12.52,8.81,10,3,4,0,0.4,0.3
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Chhattisgarh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,LAND_ACQUISITION,2191.02,71.0,18.0,0.2535,53.0,2396.86,72.77,109.39,36.62,32.94,10,6,7,0,0.7,0.6
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,2402.16,27.0,18.0,0.6667,9.0,3030.58,100.0,126.16,26.16,30.31,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Strategic Interconnection,UTILITY_SHIFTING,3015.68,51.0,18.0,0.3529,33.0,3139.98,100.0,104.12,4.12,31.4,10,10,8,0,0.8,1.0
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,UTILITY_SHIFTING,1877.74,54.0,18.0,0.3333,36.0,2060.19,100.0,109.72,9.72,20.6,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,LAND_ACQUISITION,1067.3,25.0,18.0,0.72,7.0,1314.49,100.0,123.16,23.16,13.14,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,1263.1,62.0,18.0,0.2903,44.0,1238.41,59.55,98.05,38.5,20.8,10,5,6,0,0.6,0.5
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,NONE,300.63,68.0,18.0,0.2647,50.0,316.51,100.0,105.28,5.28,3.17,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,536.04,66.0,18.0,0.2727,48.0,567.5,96.83,105.87,9.04,5.86,10,9,9,0,0.9,0.9
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Corridor Modernization,NONE,649.35,60.0,18.0,0.3,42.0,612.28,94.46,94.29,-0.17,6.48,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,437.39,50.0,18.0,0.36,32.0,556.47,100.0,127.23,27.23,5.56,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,PROCUREMENT,632.19,39.0,18.0,0.4615,21.0,747.09,100.0,118.17,18.17,7.47,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Greenfield Construction,NONE,815.84,54.0,18.0,0.3333,36.0,792.0,92.54,97.08,4.54,8.56,10,8,7,1,0.7,0.8
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,CONTRACTOR,1446.03,53.0,18.0,0.3396,35.0,1553.03,84.73,107.4,22.67,18.33,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Jharkhand,East,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,630.97,52.0,18.0,0.3462,34.0,799.52,100.0,126.71,26.71,8.0,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,INTERDEPARTMENTAL_DEPENDENCY,1274.6,52.0,18.0,0.3462,34.0,1430.99,100.0,112.27,12.27,14.31,10,10,8,0,0.8,1.0
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,266.96,28.0,18.0,0.6429,10.0,305.32,100.0,114.37,14.37,3.05,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,420.75,36.0,18.0,0.5,18.0,486.23,100.0,115.56,15.56,4.86,10,10,8,0,0.8,1.0
Ministry of Jal Shakti,Water Resources,Bihar,East,National Water Development Agency,Corridor Modernization,DESIGN_CHANGE,1661.38,47.0,18.0,0.383,29.0,1880.12,100.0,113.17,13.17,18.8,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,1048.28,41.0,18.0,0.439,23.0,1277.67,90.18,121.88,31.7,14.17,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,470.28,34.0,18.0,0.5294,16.0,593.83,100.0,126.27,26.27,5.94,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Greenfield Construction,NONE,6404.98,71.0,18.0,0.2535,53.0,6925.28,94.47,108.12,13.65,73.31,10,8,9,0,0.9,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,LAND_ACQUISITION,3299.41,29.0,18.0,0.6207,11.0,4001.32,94.84,121.27,26.43,42.19,10,9,10,0,1.0,0.9
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Andhra Pradesh,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,193.75,46.0,18.0,0.3913,28.0,153.48,58.91,79.22,20.31,2.61,10,5,5,0,0.5,0.5
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,886.31,38.0,18.0,0.4737,20.0,927.25,100.0,104.62,4.62,9.27,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,UTILITY_SHIFTING,27470.96,47.0,18.0,0.383,29.0,30542.48,98.22,111.18,12.96,310.96,10,9,10,0,1.0,0.9
Ministry of Railways,Railways,West Bengal,East,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,5173.35,68.0,18.0,0.2647,50.0,4916.04,97.33,95.03,-2.3,50.51,10,9,10,0,1.0,0.9
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,PROCUREMENT,376.49,54.0,18.0,0.3333,36.0,366.69,89.54,97.4,7.86,4.1,10,8,8,0,0.8,0.8
Ministry of Civil Aviation,Civil Aviation,Telangana,South,Airports Authority of India (AAI),Rehabilitation & Upgradation,UTILITY_SHIFTING,949.69,61.0,18.0,0.2951,43.0,575.67,43.35,60.62,17.27,13.28,10,4,5,0,0.5,0.4
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,222.95,49.0,18.0,0.3673,31.0,204.4,93.98,91.68,-2.3,2.17,10,8,5,1,0.5,0.8
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,369.42,45.0,18.0,0.4,27.0,449.36,100.0,121.64,21.64,4.49,10,10,10,0,1.0,1.0
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Uttar Pradesh,North,Major Ports Authority,Corridor Modernization,DESIGN_CHANGE,1399.9,60.0,18.0,0.3,42.0,1174.39,72.32,83.89,11.57,16.24,10,6,7,0,0.7,0.6
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,582.82,58.0,18.0,0.3103,40.0,568.88,100.0,97.61,-2.39,5.69,10,10,8,0,0.8,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,CONTRACTOR,322.62,52.0,18.0,0.3462,34.0,383.36,100.0,118.83,18.83,3.83,10,10,9,0,0.9,1.0
Ministry of Power,Power,Madhya Pradesh,Central,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,LAND_ACQUISITION,952.14,52.0,18.0,0.3462,34.0,526.24,38.25,55.27,17.02,13.76,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,337.47,49.0,18.0,0.3673,31.0,386.64,91.98,114.57,22.59,4.2,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,919.28,31.0,18.0,0.5806,13.0,924.77,100.0,100.6,0.6,9.25,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,LAND_ACQUISITION,861.03,40.0,18.0,0.45,22.0,1069.48,100.0,124.21,24.21,10.69,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Greenfield Construction,NONE,330.22,46.0,18.0,0.3913,28.0,365.01,100.0,110.54,10.54,3.65,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Chhattisgarh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,NONE,2226.75,55.0,18.0,0.3273,37.0,2254.57,100.0,101.25,1.25,22.55,10,10,6,0,0.6,1.0
Ministry of Power,Power,Odisha,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,803.49,62.0,18.0,0.2903,44.0,965.5,90.68,120.16,29.48,10.65,10,8,9,0,0.9,0.8
Ministry of Power,Power,Assam,Northeast,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,NONE,1660.75,62.0,18.0,0.2903,44.0,1676.55,88.51,100.95,12.44,18.94,10,8,6,1,0.6,0.8
